,Country Name,Country Code,Region Code,Subsample,Income Level Name,Income Level Code,Year of survey,Survey Data Source,Survey Type,Total population,"Children, aged 0-14","Youth, aged 15-24","Adult, aged 25-64","Elderly, aged 65+",Urban Population (% of total Population)," Working Age Population, aged 15-64 (% of total Pop.)","Dependency Rate, all compared to 15-64","Youth Dependency Rate, younger than 15 compared to 15-64","Old Age Dependency Rate, older than 64 compared to 15-64","Labor Force, aged 15-64","Labor Force Participation Rate, aged 15-64","Female Labor Force Participation Rate, aged 15-64","Not in labor force or education rate among youth, aged 15-24",Share of workers (aged 15-64) with more than one jobs in last week,"Employment to Population Ratio, aged 15-64","Employment Rate, aged 15-64 ","Unemployment Rate, aged 15-64","Youth Employment Rate, aged 15-24","Youth Unemployment Rate, aged 15-24","Wage employees, aged 15-64 ","Self-employed, aged 15-64","Unpaid, aged 15-64","Employers, aged 15-64","Unpaid or Self-employed, age 15-64","Share of informal jobs, aged 15-64",Share of work contract,Share of health insurance,Share of social security,"Public sector employment, aged 15-64"," Agriculture, aged 15-64"," Industry, aged 15-64"," Services, aged 15-64","Mining, aged 15-64","Manufacturing, aged 15-64","Electricity and utilities, aged 15-64","Construction, aged 15-64","Commerce, aged 15-64","Transport & Communication, aged 15-64","Financial and Business Services, aged 15-64","Public Administration, aged 15-64","Other services, aged 15-64"," Female in non-agricultural employment, aged 15-64","Youth in non-agricultural employment, aged 15-64","Non-Agricultural wage employment, aged 15-64","Non-Agricultural unpaid employment, aged 15-64","Non-Agricultural employer, aged 15-64","Non-Agricultural self-employed, aged 15-64","Youth Non-Agricultural wage employment, aged 15-24","Wage employment in agriculture, aged 15-64","Wage employment in industry, aged 15-64","Wage employment in services, aged 15-64"," Senior Officials, aged 15-64"," Professionals, aged 15-64"," Technicians, aged 15-64"," Clerks, aged 15-64"," Service and Market Sales, aged 15-64"," Skilled Agriculture, aged 15-64"," Craft Workers, aged 15-64"," Machine Operators, aged 15-64"," Elementary Occupations, aged 15-64", Armed Forces,Average weekly working hours,"Underemployment, <35 hours per week","Excessive working hours,>48 hours per week","Median Earnings for wage workers per hour, local nominal currency","Median Earnings for wage workers per month, local nominal currency","Median Earnings for wage workers per month in agriculture, local nominal currenc","Median Earnings for wage workers per month in industry, local nominal currency","Median Earnings for wage workers per month in service, local nominal currency","Median Earnings for wage workers per hour,  deflated to 2011 local currency valu","Real Median Hourly  Wages in USD (base 2011), PPP adjusted","Median Earnings for wage workers per month, deflated to 2011 local currency valu","Real Median Monthly Wages in USD (base 2011), PPP adjusted","Female to Male gender wage gap, calculated with median wages","Public to Private wage gap, calculated with median wages", No Education, Primary Education, Secondary Education, Post Secondary Education,"Mean number of years of education completed, aged 17 and older",Enrollment rate for individuals aged 6-16,Individual age,Mean age of worker between 15-64,"Mean age of worker in agriculture, between 15-64","Mean age of worker in industry, between 15-64","Mean age of worker in services, between 15-64","Mean age of wage worker, between 15-64","Mean age of self-employed or unpaid worker, between 15-64","Mean age of employer, between 15-64",Total flags in survey,"Percentile (100 = max), total flags",Flags over max number of flags,"Percentile (100 = max), share of flags"
8688,Armenia,ARM,ECS,All,Upper middle income,UMC,2010,arm_2010_ilcs_v02_m_v02_a_gmd.dta,ilcs,3318058,0.19,0.19,0.51,0.11,0.63,0.7,0.43,0.27,0.16,1476718,0.73,0.63,0.11,,0.55,0.75,0.25,0.51,0.49,0.59,0.25,0.15,0.01,0.4,,,,,0.03,0.36,0.18,0.46,0.01,0.06,0.04,0.08,0.1,0.06,0.03,0.07,0.19,0.56,0.62,0.58,0.0,0.01,0.06,0.61,0.05,0.93,0.88,,,,,,,,,,,49.62,0.3,0.57,,,,,,,,,,,,0.0,0.01,0.8,0.19,,0.95,35.65,41.41,42.51,41.03,40.7,40.85,42.22,42.94,64.0,52.0,0.07,61.0
8697,Armenia,ARM,ECS,All,Upper middle income,UMC,2012,arm_2012_ilcs_v01_m_v04_a_gmd.dta,ilcs,3192470,0.18,0.17,0.53,0.13,0.63,0.7,0.44,0.26,0.18,1378638,0.72,0.62,0.11,,0.57,0.8,0.2,0.58,0.42,0.59,0.26,0.14,0.01,0.4,,,,,,0.35,0.18,0.47,0.01,0.08,0.03,0.06,0.1,0.05,0.07,0.07,0.19,0.59,0.58,0.58,0.0,0.01,0.06,0.56,0.03,0.89,0.89,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01,0.78,0.21,,0.96,37.0,41.74,42.9,40.88,41.22,40.95,42.87,43.52,98.0,81.0,0.11,79.0
8709,Armenia,ARM,ECS,All,Upper middle income,UMC,2017,arm_2017_ilcs_v01_m_v03_a_gmd.dta,ilcs,2914656,0.18,0.13,0.54,0.15,0.61,0.67,0.49,0.27,0.22,1316714,0.77,0.68,0.08,1.1,0.63,0.82,0.18,0.65,0.35,0.6,0.29,0.1,0.01,0.39,0.5,0.83,0.18,,0.0,0.33,0.18,0.49,0.02,0.08,0.03,0.05,0.1,0.04,0.08,0.08,0.19,0.61,0.62,0.58,0.0,0.01,0.08,0.6,0.07,0.9,0.86,,,,,,,,,,,39.67,0.28,0.21,,,,,,,,,,,,0.0,0.01,0.76,0.23,,0.97,38.55,42.12,44.23,42.51,40.54,40.68,44.29,44.4,72.0,64.0,0.07,64.0
8718,Armenia,ARM,ECS,All,Upper middle income,UMC,2019,arm_2019_ilcs_v01_m_v03_a_gmd.dta,ilcs,2884958,0.19,0.12,0.54,0.15,0.61,0.66,0.52,0.29,0.23,1223312,0.7,0.62,0.17,,0.63,0.89,0.11,0.73,0.27,0.62,0.3,0.08,0.01,0.37,0.49,0.83,,,0.0,0.29,0.2,0.51,0.01,0.1,0.02,0.07,0.13,0.06,0.03,0.07,0.21,0.65,0.82,0.59,0.01,0.01,0.1,0.8,0.07,0.87,0.83,0.05,0.15,0.04,0.03,0.16,0.21,0.08,0.06,0.23,0.0,41.0,0.26,0.25,523.07,100000.0,119999.99,120000.0,95000.0,4.36,0.03,833.36,5.03,0.62,,0.0,0.01,0.55,0.44,,0.97,38.68,42.66,46.78,42.31,40.43,40.71,45.88,42.99,42.0,23.0,0.04,18.0
8732,Armenia,ARM,ECS,All,Upper middle income,UMC,2020,arm_2020_ilcs_v01_m_v02_a_gmd.dta,ilcs,2714638,0.18,0.11,0.56,0.15,0.59,0.67,0.49,0.26,0.22,1295686,0.75,0.67,0.16,,0.68,0.91,0.09,0.72,0.28,0.61,0.31,0.07,0.01,0.38,0.47,0.86,,,0.0,0.28,0.19,0.52,0.01,0.09,0.03,0.06,0.12,0.06,0.04,0.08,0.23,0.69,0.76,0.59,0.01,0.01,0.11,0.74,0.07,0.84,0.82,0.06,0.16,0.05,0.03,0.15,0.2,0.09,0.06,0.21,0.0,56.48,0.3,0.2,575.37,108624.99,119999.99,120000.0,100000.01,4.74,0.03,894.4,5.4,0.67,,0.0,0.01,0.52,0.48,,0.96,39.2,42.99,46.42,43.04,41.1,41.39,45.53,43.65,47.0,30.0,0.04,24.0
8740,Austria,AUT,ECS,All,High income,HIC,1995,aut_1995_i2d2_eulfs.dta,i2d2,7904,0.18,0.13,0.55,0.15,0.6,0.67,0.48,0.27,0.22,3818,0.72,0.62,0.02,0.05,0.69,0.96,0.04,0.94,0.06,0.86,0.11,0.03,0.0,0.14,,,,,,0.07,0.32,0.61,0.0,0.22,0.01,0.09,0.21,0.07,0.09,0.07,0.18,0.92,0.98,0.85,0.01,0.0,0.06,0.98,0.14,0.94,0.9,0.08,0.09,0.13,0.14,0.12,0.05,0.2,0.09,0.1,0.0,39.98,0.16,0.16,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,37.67,36.42,43.22,35.72,36.17,35.53,42.78,,72.0,64.0,0.07,60.0
8745,Austria,AUT,ECS,All,High income,HIC,1996,aut_1996_i2d2_eulfs.dta,i2d2,7919,0.18,0.12,0.55,0.15,0.6,0.67,0.48,0.26,0.22,3801,0.71,0.62,0.03,0.04,0.67,0.95,0.05,0.93,0.07,0.86,0.11,0.03,0.0,0.14,,,,,,0.07,0.31,0.62,0.0,0.21,0.01,0.08,0.21,0.07,0.1,0.07,0.18,0.92,0.97,0.85,0.01,0.0,0.06,0.97,0.14,0.94,0.9,0.08,0.1,0.13,0.14,0.13,0.06,0.17,0.09,0.09,0.0,39.78,0.16,0.15,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,37.95,36.61,42.68,35.88,36.46,35.72,42.94,,72.0,64.0,0.07,60.0
8750,Austria,AUT,ECS,All,High income,HIC,1997,aut_1997_i2d2_eulfs.dta,i2d2,7933,0.18,0.12,0.55,0.15,0.6,0.67,0.48,0.26,0.22,3796,0.71,0.62,0.03,0.04,0.67,0.95,0.05,0.93,0.07,0.87,0.11,0.03,0.0,0.13,,,,,,0.06,0.3,0.64,0.0,0.21,0.01,0.08,0.21,0.06,0.11,0.07,0.19,0.93,0.97,0.86,0.01,0.0,0.06,0.97,0.14,0.95,0.9,0.08,0.1,0.14,0.14,0.13,0.06,0.17,0.09,0.09,0.0,40.23,0.15,0.16,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,38.18,36.8,42.42,36.08,36.75,36.01,42.84,,72.0,64.0,0.07,60.0
8758,Austria,AUT,ECS,All,High income,HIC,1998,aut_1998_i2d2_eulfs.dta,i2d2,7940,0.18,0.12,0.56,0.15,0.6,0.67,0.48,0.26,0.22,3829,0.71,0.62,0.4,0.06,0.68,0.95,0.05,0.93,0.07,0.87,0.11,0.02,0.0,0.13,,,,,,0.06,0.3,0.64,0.0,0.21,0.01,0.08,0.22,0.06,0.1,0.07,0.19,0.93,0.97,0.86,0.01,0.0,0.07,0.97,0.14,0.95,0.9,0.08,0.1,0.14,0.14,0.13,0.06,0.17,0.09,0.09,0.0,39.77,0.17,0.15,,,,,,,,,,,,0.0,0.01,0.92,0.07,11.19,,38.29,36.86,41.99,36.15,36.9,36.14,42.49,,75.0,66.0,0.07,62.0
8770,Austria,AUT,ECS,All,High income,HIC,1999,aut_1999_i2d2_eulfs.dta,i2d2,7947,0.17,0.12,0.56,0.15,0.6,0.68,0.48,0.26,0.22,3851,0.72,0.63,0.04,0.05,0.68,0.95,0.05,0.94,0.06,0.87,0.11,0.02,0.0,0.13,,,,,,0.06,0.3,0.64,0.0,0.21,0.01,0.08,0.22,0.07,0.1,0.06,0.19,0.93,0.98,0.86,0.01,0.0,0.07,0.97,0.15,0.94,0.9,0.08,0.1,0.14,0.14,0.14,0.05,0.17,0.09,0.09,0.0,39.6,0.18,0.16,,,,,,,,,,,,0.0,0.0,0.88,0.12,11.45,,38.51,37.11,42.65,36.29,37.18,36.39,42.84,,70.0,61.0,0.07,58.0
8781,Austria,AUT,ECS,All,High income,HIC,2000,aut_2000_i2d2_eulfs.dta,i2d2,7967,0.17,0.12,0.56,0.15,0.6,0.68,0.48,0.25,0.22,3854,0.71,0.63,0.05,0.06,0.68,0.95,0.05,0.94,0.06,0.87,0.11,0.02,0.0,0.13,,,,,,0.06,0.3,0.64,0.0,0.21,0.01,0.08,0.22,0.07,0.11,0.06,0.19,0.94,0.98,0.86,0.01,0.0,0.07,0.98,0.16,0.94,0.9,0.08,0.1,0.14,0.14,0.14,0.05,0.18,0.08,0.09,0.0,39.48,0.18,0.15,,,,,,,,,,,,0.0,0.0,0.88,0.12,11.47,,38.84,37.39,42.73,36.41,37.57,36.71,42.84,,70.0,61.0,0.07,58.0
8790,Austria,AUT,ECS,All,High income,HIC,2001,aut_2001_i2d2_eulfs.dta,i2d2,7986,0.17,0.12,0.56,0.15,0.6,0.68,0.47,0.25,0.22,3842,0.71,0.62,0.05,0.05,0.68,0.96,0.04,0.94,0.06,0.87,0.11,0.02,0.0,0.13,,,,,,0.05,0.3,0.65,0.0,0.2,0.01,0.08,0.21,0.07,0.11,0.06,0.19,0.94,0.98,0.86,0.01,0.0,0.07,0.98,0.16,0.94,0.9,0.09,0.1,0.15,0.14,0.14,0.05,0.17,0.08,0.09,0.0,39.4,0.18,0.15,,,,,,,,,,,,0.0,0.0,0.81,0.19,11.56,,39.06,37.58,42.9,36.49,37.83,36.89,43.26,,69.0,60.0,0.06,56.0
8796,Austria,AUT,ECS,All,High income,HIC,2003,aut_2003_i2d2_eulfs.dta,i2d2,8012,0.17,0.12,0.56,0.15,0.6,0.68,0.46,0.24,0.22,3929,0.72,0.64,0.04,0.04,0.68,0.95,0.05,0.93,0.07,0.87,0.11,0.02,0.0,0.13,,,,,,0.05,0.29,0.66,0.0,0.2,0.01,0.08,0.22,0.07,0.12,0.06,0.2,0.94,0.98,0.86,0.01,0.0,0.08,0.98,0.2,0.95,0.9,0.08,0.1,0.15,0.14,0.15,0.05,0.16,0.08,0.09,0.0,38.86,0.19,0.14,,,,,,,,,,,,0.0,0.0,0.79,0.21,11.67,,39.31,38.03,43.57,37.2,38.14,37.38,43.45,,69.0,60.0,0.06,56.0
8804,Burundi,BDI,SSF,All,Low income,LIC,2013,bdi_2013_ecvmb_v01_m_v04_a_gmd.dta,ecvmb,9358917,0.48,0.18,0.31,0.03,0.1,0.49,1.05,0.99,0.06,3631193,0.8,0.82,0.05,1.07,0.79,0.98,0.02,0.96,0.04,0.13,0.44,0.42,0.01,0.86,0.95,0.09,,0.02,0.02,0.86,0.04,0.1,0.0,0.02,0.0,0.01,0.04,0.01,0.0,0.0,0.04,0.06,0.13,0.09,0.0,0.0,0.04,0.1,0.04,0.65,0.66,,,,,,,,,,,40.51,0.26,0.19,,,,,,,,,,,,0.45,0.4,0.13,0.01,2.85,0.78,20.88,34.94,35.21,34.4,32.98,32.29,35.35,33.86,70.0,61.0,0.08,67.0
8812,Belgium,BEL,ECS,All,High income,HIC,1985,bel_1985_i2d2_eulfs.dta,i2d2,9858,0.19,0.15,0.52,0.14,,0.67,0.49,0.28,0.2,3965,0.6,0.45,0.05,0.02,0.53,0.89,0.11,0.77,0.23,0.8,0.16,0.04,0.0,0.2,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,40.09,0.15,0.16,,,,,,,,,,,,1.0,0.0,0.0,0.0,,1.0,37.05,37.1,,,,36.17,41.46,,134.0,95.0,0.2,94.0
8817,Belgium,BEL,ECS,All,High income,HIC,1986,bel_1986_i2d2_eulfs.dta,i2d2,9859,0.19,0.15,0.52,0.14,,0.67,0.48,0.28,0.21,3978,0.6,0.46,0.04,0.02,0.53,0.89,0.11,0.8,0.2,0.81,0.15,0.04,0.0,0.19,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,40.18,0.15,0.16,,,,,,,,,,,,1.0,0.0,0.0,0.0,,1.0,37.21,36.73,,,,35.91,40.98,,134.0,95.0,0.2,94.0
8828,Belgium,BEL,ECS,All,High income,HIC,1987,bel_1987_i2d2_eulfs.dta,i2d2,9865,0.18,0.15,0.52,0.14,,0.67,0.48,0.27,0.21,3931,0.59,0.45,0.04,0.02,0.52,0.89,0.11,0.79,0.21,0.82,0.15,0.03,0.0,0.18,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,39.5,0.16,0.14,,,,,,,,,,,,1.0,0.0,0.0,0.0,,1.0,37.32,36.56,,,,35.76,40.89,,134.0,95.0,0.2,94.0
8834,Belgium,BEL,ECS,All,High income,HIC,1988,bel_1988_i2d2_eulfs.dta,i2d2,9875,0.18,0.15,0.52,0.14,,0.67,0.48,0.27,0.21,3895,0.59,0.45,0.04,0.02,0.53,0.9,0.1,0.83,0.17,0.82,0.15,0.03,0.0,0.18,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,39.62,0.16,0.15,,,,,,,,,,,,1.0,0.0,0.0,0.0,,1.0,37.43,36.67,,,,35.93,40.79,,134.0,95.0,0.2,94.0
8836,Belgium,BEL,ECS,All,High income,HIC,1989,bel_1989_i2d2_eulfs.dta,i2d2,9928,0.18,0.15,0.53,0.15,,0.67,0.49,0.27,0.22,3929,0.59,0.46,0.04,0.02,0.54,0.92,0.08,0.85,0.15,0.81,0.16,0.03,0.0,0.19,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,39.99,0.16,0.16,,,,,,,,,,,,1.0,0.0,0.0,0.0,,1.0,37.62,36.82,,,,36.02,41.01,,134.0,95.0,0.2,94.0
8842,Belgium,BEL,ECS,All,High income,HIC,1991,bel_1991_i2d2_eulfs.dta,i2d2,9979,0.18,0.14,0.53,0.15,,0.67,0.5,0.27,0.23,4017,0.6,0.48,0.04,0.02,0.56,0.93,0.07,0.87,0.13,0.83,0.15,0.02,0.0,0.17,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,39.17,0.18,0.15,,,,,,,,,,,,1.0,0.0,0.0,0.0,,1.0,37.9,36.89,,,,36.28,40.67,,136.0,96.0,0.19,94.0
8850,Belgium,BEL,ECS,All,High income,HIC,1992,bel_1992_i2d2_eulfs.dta,i2d2,10022,0.18,0.13,0.53,0.15,0.96,0.67,0.5,0.27,0.23,4057,0.61,0.49,0.04,0.02,0.57,0.93,0.07,0.88,0.12,0.82,0.15,0.03,0.0,0.18,,,,,,0.03,0.31,0.66,0.0,0.23,0.01,0.07,0.25,0.07,0.04,0.09,0.21,0.98,0.98,0.82,0.02,0.0,0.13,0.98,0.11,0.9,0.82,,,,,,,,,,,39.1,0.18,0.15,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,37.98,36.99,42.94,36.35,37.24,36.33,40.9,,87.0,73.0,0.1,74.0
8859,Belgium,BEL,ECS,All,High income,HIC,1993,bel_1993_i2d2_eulfs.dta,i2d2,10068,0.18,0.13,0.53,0.15,0.95,0.66,0.51,0.27,0.23,4084,0.61,0.5,0.04,0.02,0.56,0.92,0.08,0.83,0.17,0.82,0.15,0.02,0.0,0.18,,,,,,0.03,0.3,0.68,0.0,0.22,0.01,0.07,0.18,0.07,0.1,0.09,0.23,0.98,0.98,0.82,0.02,0.0,0.13,0.98,0.14,0.9,0.82,0.11,0.18,0.1,0.17,0.1,0.03,0.16,0.08,0.09,0.0,37.57,0.22,0.11,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,38.08,37.26,42.67,36.88,37.41,36.66,40.81,,68.0,58.0,0.06,56.0
8868,Belgium,BEL,ECS,All,High income,HIC,1994,bel_1994_i2d2_eulfs.dta,i2d2,10101,0.18,0.13,0.53,0.16,0.95,0.66,0.51,0.27,0.23,4134,0.62,0.51,0.04,0.02,0.56,0.9,0.1,0.78,0.22,0.83,0.15,0.02,0.0,0.17,,,,,,0.03,0.29,0.68,0.0,0.21,0.01,0.07,0.18,0.07,0.1,0.1,0.24,0.98,0.98,0.82,0.02,0.0,0.13,0.98,0.17,0.9,0.82,0.11,0.18,0.09,0.17,0.1,0.03,0.16,0.08,0.09,0.0,37.18,0.28,0.11,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,38.21,37.56,41.74,36.79,37.74,36.87,40.93,,68.0,58.0,0.06,56.0
8874,Belgium,BEL,ECS,All,High income,HIC,1995,bel_1995_i2d2_eulfs.dta,i2d2,10131,0.18,0.13,0.53,0.16,0.95,0.66,0.51,0.27,0.24,4162,0.62,0.52,0.04,0.03,0.56,0.91,0.09,0.78,0.22,0.82,0.15,0.03,0.0,0.18,,,,,,0.03,0.28,0.69,0.0,0.2,0.01,0.07,0.18,0.07,0.1,0.1,0.23,0.98,0.98,0.82,0.02,0.0,0.13,0.98,0.17,0.91,0.82,0.12,0.18,0.1,0.17,0.1,0.02,0.14,0.08,0.09,0.0,37.73,0.24,0.12,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,38.35,37.83,42.11,36.91,38.05,37.11,41.24,,68.0,58.0,0.06,56.0
8882,Belgium,BEL,ECS,All,High income,HIC,1996,bel_1996_i2d2_eulfs.dta,i2d2,10143,0.18,0.13,0.53,0.16,0.96,0.66,0.51,0.27,0.24,4165,0.62,0.52,0.03,0.03,0.56,0.9,0.1,0.8,0.2,0.82,0.15,0.03,0.0,0.18,,,,,,0.03,0.28,0.7,0.0,0.2,0.01,0.07,0.18,0.08,0.11,0.1,0.24,0.98,0.97,0.82,0.02,0.0,0.13,0.97,0.14,0.9,0.82,0.12,0.19,0.09,0.17,0.1,0.03,0.14,0.08,0.09,0.0,37.68,0.22,0.11,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,38.52,37.85,41.95,37.12,37.98,37.22,40.81,,68.0,58.0,0.06,56.0
8887,Belgium,BEL,ECS,All,High income,HIC,1997,bel_1997_i2d2_eulfs.dta,i2d2,10170,0.18,0.12,0.53,0.16,0.94,0.66,0.52,0.27,0.25,4197,0.63,0.53,0.03,0.03,0.57,0.91,0.09,0.79,0.21,0.83,0.15,0.02,0.0,0.17,,,,,,0.03,0.28,0.7,0.0,0.2,0.01,0.07,0.18,0.07,0.11,0.1,0.24,0.98,0.98,0.83,0.02,0.0,0.13,0.98,0.17,0.9,0.83,0.11,0.19,0.1,0.16,0.1,0.03,0.14,0.08,0.09,0.0,37.81,0.22,0.12,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,,38.67,38.04,42.06,37.17,38.24,37.35,41.45,,68.0,58.0,0.06,56.0
8903,Belgium,BEL,ECS,All,High income,HIC,1998,bel_1998_i2d2_eulfs.dta,i2d2,10192,0.18,0.12,0.53,0.16,0.95,0.66,0.52,0.27,0.25,4238,0.63,0.54,0.08,0.03,0.57,0.91,0.09,0.8,0.2,0.83,0.15,0.02,0.0,0.17,,,,,,0.02,0.27,0.71,0.0,0.19,0.01,0.07,0.18,0.07,0.12,0.1,0.24,0.98,0.98,0.82,0.02,0.0,0.14,0.98,0.22,0.9,0.82,0.12,0.19,0.1,0.16,0.11,0.02,0.13,0.08,0.09,0.0,38.34,0.23,0.14,,,,,,,,,,,,0.0,0.19,0.59,0.22,10.42,,38.81,38.18,40.79,37.3,38.45,37.51,41.46,,65.0,54.0,0.06,53.0
8912,Belgium,BEL,ECS,All,High income,HIC,1999,bel_1999_i2d2_eulfs.dta,i2d2,10214,0.18,0.12,0.53,0.17,0.95,0.66,0.52,0.27,0.25,4332,0.65,0.56,0.06,0.04,0.59,0.91,0.09,0.77,0.23,0.83,0.14,0.02,0.0,0.17,,,,,,0.02,0.26,0.72,0.0,0.19,0.01,0.06,0.18,0.08,0.11,0.09,0.26,0.98,0.98,0.83,0.02,0.0,0.13,0.98,0.27,0.89,0.83,0.12,0.2,0.11,0.16,0.11,0.02,0.11,0.09,0.09,0.0,36.51,0.35,0.14,,,,,,,,,,,,0.0,0.19,0.58,0.23,10.44,,38.95,38.42,39.41,37.94,38.57,37.78,41.64,,65.0,54.0,0.06,53.0
8921,Belgium,BEL,ECS,All,High income,HIC,2000,bel_2000_i2d2_eulfs.dta,i2d2,10239,0.18,0.12,0.53,0.17,0.96,0.66,0.52,0.27,0.26,4384,0.65,0.57,0.05,0.04,0.61,0.93,0.07,0.85,0.15,0.84,0.14,0.02,0.0,0.16,,,,,,0.02,0.26,0.72,0.0,0.19,0.01,0.06,0.17,0.08,0.12,0.1,0.25,0.99,0.97,0.84,0.02,0.0,0.13,0.97,0.26,0.91,0.84,0.11,0.19,0.11,0.16,0.11,0.02,0.12,0.07,0.11,0.0,36.39,0.36,0.13,,,,,,,,,,,,0.0,0.18,0.58,0.24,10.53,,39.14,38.3,40.81,37.59,38.49,37.68,41.66,,65.0,54.0,0.06,53.0
8927,Belgium,BEL,ECS,All,High income,HIC,2001,bel_2001_i2d2_eulfs.dta,i2d2,10263,0.18,0.12,0.53,0.17,0.95,0.66,0.53,0.27,0.26,4282,0.64,0.54,0.04,0.04,0.6,0.94,0.06,0.85,0.15,0.85,0.13,0.02,0.0,0.15,,,,,,0.01,0.26,0.73,0.0,0.18,0.01,0.06,0.18,0.08,0.13,0.1,0.25,0.99,0.99,0.85,0.02,0.0,0.12,0.99,0.28,0.9,0.85,0.12,0.19,0.11,0.16,0.11,0.01,0.11,0.07,0.11,0.0,36.2,0.37,0.13,,,,,,,,,,,,0.0,0.19,0.56,0.25,10.56,,39.28,38.74,43.32,37.69,39.02,38.01,42.89,,65.0,54.0,0.06,53.0
8937,Belgium,BEL,ECS,All,High income,HIC,2002,bel_2002_i2d2_eulfs.dta,i2d2,10310,0.18,0.12,0.53,0.17,0.95,0.66,0.53,0.27,0.26,4332,0.64,0.55,0.05,0.03,0.6,0.93,0.07,0.84,0.16,0.85,0.13,0.02,0.0,0.15,,,,,,0.02,0.26,0.72,0.0,0.18,0.01,0.07,0.18,0.08,0.13,0.1,0.25,0.99,0.97,0.84,0.02,0.0,0.12,0.97,0.38,0.91,0.84,0.11,0.19,0.11,0.17,0.11,0.02,0.11,0.08,0.09,0.0,36.32,0.36,0.13,,,,,,,,,,,,0.0,0.18,0.56,0.26,10.65,,39.42,38.84,38.61,38.14,39.09,38.26,42.09,,63.0,51.0,0.06,49.0
8944,Belgium,BEL,ECS,All,High income,HIC,2003,bel_2003_i2d2_eulfs.dta,i2d2,10356,0.17,0.12,0.53,0.17,0.95,0.66,0.52,0.27,0.26,4364,0.64,0.56,0.05,0.04,0.59,0.92,0.08,0.81,0.19,0.85,0.13,0.02,0.0,0.15,,,,,,0.02,0.25,0.73,0.0,0.18,0.01,0.06,0.17,0.08,0.13,0.1,0.26,0.99,0.99,0.85,0.01,0.0,0.12,0.99,0.28,0.9,0.85,0.11,0.19,0.12,0.16,0.11,0.02,0.11,0.08,0.1,0.0,36.14,0.36,0.13,,,,,,,,,,,,0.0,0.17,0.57,0.26,10.65,,39.56,39.13,43.39,38.51,39.25,38.5,42.8,,64.0,52.0,0.06,51.0
8957,Benin,BEN,SSF,All,Low income,LIC,2018,ben_2018_i2d2_ehcvm_v01_m_v02_a.dta,i2d2,11699067,0.48,0.17,0.32,0.03,0.45,0.5,1.02,0.96,0.05,5576006,0.96,0.98,0.02,,0.96,1.0,0.0,1.0,0.0,0.12,0.61,0.27,0.01,0.87,,,,,0.01,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,0.19,0.28,0.06,8.59,0.7,20.91,32.33,,,,34.7,34.37,39.91,83.0,71.0,0.11,80.0
8959,Burkina Faso,BFA,SSF,All,Low income,LIC,2009,bfa_2009_i2d2_eicvm_gmd.dta,i2d2,15224780,0.49,0.17,0.31,0.03,0.24,0.48,1.1,1.03,0.07,6441503,0.91,0.88,0.07,1.07,0.89,0.97,0.03,0.96,0.04,0.05,0.39,0.55,0.01,0.94,0.97,0.03,,0.03,0.02,0.81,0.05,0.14,0.0,0.04,0.0,0.01,0.08,0.01,0.0,0.01,0.04,0.16,0.15,0.04,0.03,0.0,0.1,0.03,0.0,0.15,0.27,0.0,0.01,0.01,0.01,0.09,0.81,0.05,0.0,0.02,0.0,,,,,,,,,,,,,,,0.73,0.23,0.04,0.01,1.67,0.9,21.26,33.05,32.9,32.93,33.61,34.78,32.9,40.75,12.0,2.0,0.01,1.0
